Name	Team	Pos	SH	SG	G	A	OF	SV	ID
Alabi, James	Mansfield Town	F	2	1	0	0	0	0	1
Arestidou, Andres	Morecambe	G	0	0	0	0	0	0	2
Allen, Jamie	Fleetwood Town	M	26	11	6	1	2	0	3
Amond, Padraig	Morecambe	F	51	27	11	2	19	0	4
Antwi, Will	AFC Wimbledon	D	3	2	1	0	2	0	5
Anthony, Byron	Newport County	D	1	0	0	0	0	0	6
Adelakun, Hakeeb	Scunthorpe United	F	16	7	2	3	2	0	7
Atkinson, Mike	York City	D	0	0	0	0	0	0	8
Azeez, Adebayo	Torquay United	F	25	11	5	2	17	0	9
Arnold, Nick	Wycombe Wanderers	D	17	10	0	2	1	0	10
Allen, Tom	York City	M	3	1	0	0	0	0	11
Ainsworth, Gareth	Wycombe Wanderers	M	0	0	0	0	0	0	12
Andrew, Calvin	Mansfield Town	F	23	8	1	2	11	0	13
Atkinson, Robert	Accrington Stanley	D	0	0	0	0	1	0	14
Arthur, Chris	AFC Wimbledon	M	9	3	1	1	0	0	15
Ashby, Josh	Oxford United	F	0	0	0	0	0	0	16
Anderson, Lloyd	Dagenham & Redbridge	G	0	0	0	0	0	0	17
Alexander, Gary	Burton Albion	F	9	3	0	0	4	0	18
Alessandra, Lewis	Plymouth Argyle	F	63	23	7	4	11	0	19
Amdi-Holloway, Aaron	Newport County	M	2	0	0	0	0	0	20
Auger, Ryan	Southend United 	M	0	0	0	0	0	0	21
Austin, Neil	Hartlepool United	D	2	0	0	0	0	0	22
Appiah, Kwesi	AFC Wimbledon	F	19	7	3	1	8	0	23
Atkinson, Will	Southend United 	M	33	5	2	1	1	0	24
Agyemang, Patrick	Portsmouth	F	24	12	4	3	15	0	25
Awford, Nick	Portsmouth	M	0	0	0	0	0	0	26
Alfei, Daniel	Portsmouth	D	3	0	0	1	0	0	27
Aldred, Tom	Accrington Stanley	M	16	7	2	1	3	0	28
Bunny, Joe	Rochdale	F	16	5	3	1	16	0	29
Barton, Adam	Fleetwood Town	D	0	0	0	0	0	0	30
Blair, Matty	Northampton Town	M	22	10	4	0	1	0	31
Brundle, Mitch	Cheltenham Town	M	6	2	0	0	0	0	32
Ball, David	Fleetwood Town	F	59	32	8	1	23	0	33
Bentley, Daniel	Southend United 	G	1	1	0	0	0	68	34
Banton, Josh	Southend United 	D	0	0	0	0	0	0	35
Bennett, Julian	Southend United 	D	0	0	0	0	0	0	36
Bolger, Cian	Southend United 	D	1	1	0	0	0	0	37
Barcham, Andy	Portsmouth	F	22	12	3	1	0	0	38
Bridge, Jack	Southend United 	M	0	0	0	0	0	0	39
Butterfield, Danny	Exeter City	D	3	1	0	1	0	0	40
Boswell, Liam	Bury	F	0	0	0	0	0	0	41
Bell, Lee	Burton Albion	M	12	6	1	1	1	0	42
Brobbell, Ryan	York City	M	13	8	4	3	1	0	43
Bowman, Ryan	York City	F	31	20	8	2	7	0	44
